,director_name,id
1809,Fernando Meirelles,8557.0
1816,Michael Hoffman,52405.0
1822,Oleg Stepchenko,238220.0
1824,Michael Winterbottom,172.0
1827,Michael Pressman,59649.0
1831,Sharon Maguire,9158.0
1833,Charles Herman-Wurmfeld,76247.0
1841,Gábor Csupó,36697.0
1843,Tyler Perry,80602.0
1844,Joe Carnahan,40223.0
1845,John Polson,15337.0
1852,Bernardo Bertolucci,4956.0
1856,Cathy Malkasian,78488.0
1860,Chris Nahon,21931.0
1861,Fred Wolf,66563.0
1862,Bille Woodruff,62116.0
1866,Victor Salva,56349.0
1867,Mark Helfrich,1098.0
1871,Steve Bendelack,16356.0
1872,Dwight H. Little,56998.0
1873,Guillaume Canet,19866.0
1874,Kirsten Sheridan,41285.0
1877,Richard Fleischer,2087.0
1878,Bob Spiers,47974.0
1880,Damien Dante Wayans,59229.0
1885,John Wells,47333.0
1886,Tim Fywell,125544.0
1887,Nigel Cole,24248.0
1888,Dexter Fletcher,974.0
1890,Jeremy Leven,25210.0
1892,Sylvain White,31119.0
1893,Troy Nixey,135601.0
1894,Philip G. Atwell,65190.0
1896,Jeff Schaffer,57405.0
1899,James Bridges,14838.0
1900,Steve Barron,18308.0
1901,Bill Paxton,2053.0
1902,Richard Kelly,1577.0
1903,Carter Smith,68352.0
1904,John Schlesinger,19304.0
1907,Ringo Lam,26767.0
1908,Bruce McCulloch,73499.0
1917,Patricia Riggen,437833.0
1919,Pascal Chaumeil,8392.0
1925,Jonathan Kaplan,42171.0
1926,Ole Bornedal,22676.0
1927,Richard Benjamin,24318.0
1930,Craig R. Baxley,63709.0
1931,John Hillcoat,53333.0
1932,John Guillermin,6778.0
1933,Marcos Siega,74062.0
1936,Rachel Talalay,56891.0
1937,Jeffrey W. Byrd,109695.0
1941,Atom Egoyan,56205.0
1943,Robert Towne,11057.0
1945,Giuseppe Tornatore,65314.0
1946,Werner Herzog,6818.0
1950,Jérôme Deschamps,93592.0
1951,Inna Evlannikova,115999.0
1953,Jonathan English,83730.0
1954,Sergey Bondarchuk,38131.0
1955,Teddy Chan,70703.0
1956,Mario Van Peebles,16214.0
1959,Leonard Nimoy,1749.0
1965,Herbert Ross,18378.0
1969,Bonnie Hunt,5149.0
1971,Neil LaBute,58689.0
1972,Grant Heslov,31511.0
1973,George Gallo,21792.0
1977,Sidney Lumet,39996.0
1980,Douglas McGrath,32983.0
1982,Kevin Spacey,1979.0
1984,Richard Williams,116100.0
1985,Mary McGuckian,130482.0
1996,Tony Goldwyn,3417.0
1999,Jonathan Newman,558177.0
2001,Michael Dinner,84165.0
2003,Joseph Sargent,15663.0
2004,Jerry Zaks,59635.0
2005,Fred Durst,29783.0
2009,Anne Fontaine,48583.0
2010,Jon Cassar,25873.0
2012,Mira Nair,6495.0
2015,Mel Brooks,14639.0
2016,Russell Crowe,934.0
2027,Jessie Nelson,16853.0
2028,Christopher Spencer,235820.0
2033,Mike Bigelow,69498.0
2040,Daniel Sackheim,12632.0
